Date,^GSPC,^NDX,^STOXX50E,^FTSE,^GDAXI,^N225,000001.SS,^NSEI,^HSI,^AXJO
2019-06-19,2926.4599609375,7667.740234375,3454.699951171875,7403.5,12308.5302734375,21333.869140625,2917.802978515625,11691.4501953125,28202.140625,6648.10009765625
2019-06-20,2954.179931640625,7738.0498046875,3468.080078125,7424.39990234375,12355.3896484375,21462.859375,2987.118896484375,11831.75,28550.4296875,6687.39990234375
2019-06-21,2950.4599609375,7728.77978515625,3466.919921875,7407.5,12339.919921875,21258.640625,3001.97998046875,11724.099609375,28473.7109375,6650.7998046875
2019-06-24,2945.35009765625,7723.02001953125,3455.570068359375,7416.7001953125,12274.5703125,21285.990234375,3008.14794921875,11699.650390625,28513.0,6665.39990234375
2019-06-25,2917.3798828125,7591.5400390625,3444.360107421875,7422.39990234375,12228.4404296875,21193.810546875,2982.073974609375,11796.4501953125,28185.98046875,6658.0
2019-06-26,2913.780029296875,7627.0498046875,3442.949951171875,7416.39990234375,12245.3203125,21086.58984375,2976.283935546875,11847.5498046875,28221.98046875,6640.5
2019-06-27,2924.919921875,7657.0498046875,3442.3798828125,7402.2998046875,12271.0302734375,21338.169921875,2996.79296875,11841.5498046875,28621.419921875,6666.2998046875
2019-06-28,2941.760009765625,7671.080078125,3473.68994140625,7425.60009765625,12398.7998046875,21275.919921875,2978.8779296875,11788.849609375,28542.619140625,6618.7998046875
2019-07-01,2964.330078125,7768.14013671875,3497.590087890625,7497.5,12521.3798828125,21729.970703125,3044.903076171875,11865.599609375,,6648.10009765625
2019-07-02,2973.010009765625,7799.81982421875,3507.97998046875,7559.2001953125,12526.7197265625,21754.26953125,3043.943115234375,11910.2998046875,28875.560546875,6653.2001953125
2019-07-03,2995.820068359375,7857.68994140625,3540.6298828125,7609.2998046875,12616.240234375,21638.16015625,3015.262939453125,11916.75,28855.140625,6685.5
2019-07-04,,,3544.14990234375,7603.60009765625,12629.900390625,21702.44921875,3005.2490234375,11946.75,28795.76953125,6718.0
2019-07-05,2990.409912109375,7841.2998046875,3527.97998046875,7553.10009765625,12568.5302734375,21746.380859375,3011.05908203125,11811.150390625,28774.830078125,6751.2998046875
2019-07-08,2975.949951171875,7785.7900390625,3523.760009765625,7549.2998046875,12543.509765625,21534.349609375,2933.363037109375,11558.599609375,28331.689453125,6672.2001953125
2019-07-09,2979.6298828125,7826.85986328125,3509.75,7536.5,12436.5498046875,21565.150390625,2928.22998046875,11555.900390625,28116.279296875,6665.7001953125
2019-07-10,2993.070068359375,7903.39990234375,3501.52001953125,7530.7001953125,12373.41015625,21533.48046875,2915.302001953125,11498.900390625,28204.689453125,6689.7998046875
2019-07-11,2999.909912109375,7896.77978515625,3496.72998046875,7509.7998046875,12332.1201171875,21643.529296875,2917.760986328125,11582.900390625,28431.80078125,6716.10009765625
2019-07-12,3013.77001953125,7943.240234375,3497.6298828125,7506.0,12323.3203125,21685.900390625,2930.550048828125,11552.5,28471.619140625,6696.5
2019-07-15,3014.300048828125,7966.93017578125,3502.219970703125,7531.7001953125,12387.33984375,,2942.18994140625,11588.349609375,28554.880859375,6653.0
2019-07-16,3004.0400390625,7927.080078125,3521.360107421875,7577.2001953125,12430.9697265625,21535.25,2937.6201171875,11662.599609375,28619.619140625,6641.0
2019-07-17,2984.419921875,7888.759765625,3501.580078125,7535.5,12341.0302734375,21469.1796875,2931.68994140625,11687.5,28593.169921875,6673.2998046875
